Jugador,Nacionalidad,Posicion,Edad,Goles,Tiros Totales,xG,npxG,xAG,xAG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,contract_date
Alexis ClaudeMaurice,fr FRA,AM,26-345,18,118,8.8,8.8,2.2,2.2,2.2,2.2,154,1310,1310,1310,1310,1310,1310,1310,1310,1310,122,122,122,122,84,84,84,84,410,62,2.2,2.2,2.2,2.2,2.8000000000000003,76,1268,42,6,42,1086,1086,1086,1086,1086,1086,1086,1086,1086,0,16,2,862,128,2523.2,80,94,170,100,1454,204,52,42,28,1666.8,30.06.2027
Aljoscha Kemlein,de GER,"CM,DM",20-177,2,22,1.8,1.8,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,42,930,930,930,930,930,930,930,930,930,84,84,84,84,12,12,12,12,264,80,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.2000000000000002,56,890,32,0,10,702,702,702,702,702,702,702,702,702,8,30,0,210,36,700.0,6,10,22,2,658,38,30,10,38,1720.0,-
Almugera Kabar,de GER,WB,18-303,0,0,0.0,0.0,1.0,1.0,1.0,1.0,6,196,196,196,196,196,196,196,196,196,12,12,12,12,2,2,2,2,66,4,1.0,1.0,1.0,1.0,0.6,14,168,28,0,2,178,178,178,178,178,178,178,178,178,0,8,0,40,2,100.0,0,6,0,6,156,4,4,2,4,300.0,30.06.2028
Alphonso Davies,ca CAN,"LB,LW",24-133,2,34,2.6,2.6,3.2,3.2,3.2,3.2,122,2544,2544,2544,2544,2544,2544,2544,2544,2544,240,240,240,240,62,62,62,62,802,48,3.2,3.2,3.2,3.2,4.4,190,2286,254,12,44,2282,2282,2282,2282,2282,2282,2282,2282,2282,4,44,4,996,98,1608.0,62,106,66,38,2114,280,16,44,18,1100.0,30.06.2030
Amadou Haidara,ml MLI,CM,27-092,0,36,2.6,2.6,1.6,1.6,1.6,1.6,58,1804,1804,1804,1804,1804,1804,1804,1804,1804,130,130,130,130,14,14,14,14,576,76,1.6,1.6,1.6,1.6,1.8,130,1768,32,16,24,1446,1446,1446,1446,1446,1446,1446,1446,1446,4,112,2,314,28,900.0,10,12,12,14,1382,48,46,24,60,2247.6,30.06.2026
Ameen AlDakhil,be BEL,CB,23-023,0,2,0.2,0.2,0.4,0.4,0.4,0.4,8,678,678,678,678,678,678,678,678,678,24,24,24,24,0,0,0,0,300,32,0.4,0.4,0.4,0.4,0.2,40,642,32,0,0,622,622,622,622,622,622,622,622,622,4,60,2,12,0,0.0,0,0,6,0,528,0,8,0,16,557.2,30.06.2028
Amine Adli,ma MAR,RW,25-007,4,40,5.6000000000000005,5.6000000000000005,1.2,1.2,1.2,1.2,58,720,720,720,720,720,720,720,720,720,48,48,48,48,30,30,30,30,144,12,1.2,1.2,1.2,1.2,3.6,18,692,24,0,66,534,534,534,534,534,534,534,534,534,4,8,0,572,106,1200.0,32,50,40,12,700,200,30,66,42,1397.6,30.06.2030
Amos Pieper,de GER,CB,27-120,0,14,0.8,0.8,1.2,1.2,1.2,1.2,10,1864,1864,1864,1864,1864,1864,1864,1864,1864,124,124,124,124,4,4,4,4,788,214,1.2,1.2,1.2,1.2,1.0,80,1674,184,4,8,1580,1580,1580,1580,1580,1580,1580,1580,1580,6,196,2,120,22,400.0,2,14,8,6,1342,6,22,8,80,2150.2,30.06.2026
Andras Schafer,hu HUN,CM,26-034,2,24,1.4,1.4,1.6,1.6,1.6,1.6,58,1126,1126,1126,1126,1126,1126,1126,1126,1126,110,110,110,110,26,26,26,26,264,26,1.6,1.6,1.6,1.6,2.4,60,1068,52,0,34,828,828,828,828,828,828,828,828,828,6,72,0,422,40,1500.0,26,32,54,18,800,84,54,34,56,2496.8,30.06.2027
Andre Silva,pt POR,FW,29-158,4,38,7.800000000000001,3.0,2.2,2.2,2.2,2.2,44,316,316,316,316,316,316,316,316,316,28,28,28,28,2,2,2,2,68,14,2.2,2.2,2.2,2.2,1.2000000000000002,12,268,40,4,8,224,224,224,224,224,224,224,224,224,8,10,0,246,72,200.0,24,14,38,20,326,78,8,8,26,820.6,30.06.2026
Andreas HancheOlsen,no NOR,CB,28-120,2,24,1.4000000000000001,1.4000000000000001,0.4,0.4,0.4,0.4,10,1284,1284,1284,1284,1284,1284,1284,1284,1284,68,68,68,68,2,2,2,2,524,68,0.4,0.4,0.4,0.4,1.0,52,1196,86,0,2,1060,1060,1060,1060,1060,1060,1060,1060,1060,2,170,4,76,42,200.0,0,8,16,6,938,10,40,2,98,2365.6,30.06.2028
Andreas Skov Olsen,dk DEN,RW,25-139,2,14,1.6,1.6,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,64,540,540,540,540,540,540,540,540,540,44,44,44,44,8,8,8,8,170,44,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,2.4,24,502,38,0,58,434,434,434,434,434,434,434,434,434,0,24,0,308,54,266.6,18,22,14,10,452,96,4,58,6,466.6,30.06.2029
Andrej Ilic,rs SRB,FW,25-044,14,54,10.0,8.4,0.4,0.4,0.4,0.4,30,382,382,382,382,382,382,382,382,382,26,26,26,26,2,2,2,2,48,2,0.4,0.4,0.4,0.4,0.2,32,370,12,2,6,220,220,220,220,220,220,220,220,220,0,12,2,270,90,100.0,12,12,64,18,418,118,28,6,104,1487.8,30.06.2027
Andrej Kramaric,hr CRO,AM,33-332,22,132,23.2,18.4,8.4,8.4,8.4,8.4,204,2628,2628,2628,2628,2628,2628,2628,2628,2628,286,286,286,286,40,40,40,40,678,136,8.4,8.4,8.4,8.4,11.4,202,2364,244,10,232,2042,2042,2042,2042,2042,2042,2042,2042,2042,20,22,2,1352,262,2223.4,44,110,92,76,2306,404,24,232,16,800.0,30.06.2026
Angelo Stiller,de GER,DM,24-037,2,42,3.4000000000000004,3.4000000000000004,14.0,14.0,14.0,14.0,222,5080,5080,5080,5080,5080,5080,5080,5080,5080,578,578,578,578,40,40,40,40,1934,340,14.0,14.0,14.0,14.0,16.6,542,4704,354,30,190,4438,4438,4438,4438,4438,4438,4438,4438,4438,22,100,8,1112,70,2650.0,20,78,42,50,4224,138,42,190,36,1729.8,30.06.2028
Ansgar Knauff,de GER,"AM,FW,RW",23-127,8,60,9.8,9.8,10.4,10.4,10.4,10.4,124,1088,1088,1088,1088,1088,1088,1088,1088,1088,116,116,116,116,52,52,52,52,224,28,10.4,10.4,10.4,10.4,9.0,34,1034,52,8,64,726,726,726,726,726,726,726,726,726,2,48,0,672,150,2558.2,50,70,94,34,954,292,54,64,38,2283.2,30.06.2028
Anthony Caci,fr FRA,WB,27-320,2,64,6.4,6.4,13.0,13.0,13.0,13.0,190,3310,3310,3310,3310,3310,3310,3310,3310,3310,266,266,266,266,58,58,58,58,888,186,13.0,13.0,13.0,13.0,15.4,192,2690,604,12,266,2376,2376,2376,2376,2376,2376,2376,2376,2376,16,94,4,1418,124,2633.2,62,50,88,48,2322,304,74,266,70,2772.4,30.06.2026
Anthony Jung,de GER,CB,33-195,0,2,0.0,0.0,0.0,0.0,0.0,0.0,28,3024,3024,3024,3024,3024,3024,3024,3024,3024,242,242,242,242,14,14,14,14,1396,224,0.0,0.0,0.0,0.0,0.6000000000000001,200,2776,242,0,8,2708,2708,2708,2708,2708,2708,2708,2708,2708,6,154,2,144,2,1400.0,2,40,26,4,2330,12,18,8,68,2401.2,-
Anthony Rouault,fr FRA,CB,23-248,2,10,1.0,1.0,0.4,0.4,0.4,0.4,22,1748,1748,1748,1748,1748,1748,1748,1748,1748,104,104,104,104,4,4,4,4,810,114,0.4,0.4,0.4,0.4,0.8,98,1686,60,2,2,1574,1574,1574,1574,1574,1574,1574,1574,1574,2,126,2,66,22,400.0,6,12,8,8,1394,8,36,2,66,2285.6,30.06.2029
Anton Stach,de GER,CM,26-183,2,70,3.8000000000000003,3.8000000000000003,4.0,4.0,4.0,4.0,126,3074,3074,3074,3074,3074,3074,3074,3074,3074,304,304,304,304,30,30,30,30,1176,222,4.0,4.0,4.0,4.0,5.4,240,3000,66,8,48,2540,2540,2540,2540,2540,2540,2540,2540,2540,8,202,4,584,64,1800.0,36,62,46,20,2272,72,76,48,106,3295.4,30.06.2029
Antonio Nusa,no NOR,FW,20-030,6,48,3.0,3.0,6.0,6.0,6.0,6.0,82,1132,1132,1132,1132,1132,1132,1132,1132,1132,104,104,104,104,78,78,78,78,284,34,6.0,6.0,6.0,6.0,5.0,62,1068,56,16,70,840,840,840,840,840,840,840,840,840,8,22,0,724,108,2160.2,78,72,76,62,1114,246,28,70,12,966.6,30.06.2029
Arijon Ibrahimovic,de GER,"RW,LW",18-362,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,6,6,6,6,6,6,6,6,0,0,0,0,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,6,6,6,6,6,6,6,6,6,0,0,0,0,0,200.0,0,0,0,0,6,0,0,0,0,0.0,30.06.2026
Armindo Sieb,de GER,AM,22-068,4,58,5.6,5.6,2.1999999999999997,2.1999999999999997,2.1999999999999997,2.1999999999999997,34,390,390,390,390,390,390,390,390,390,36,36,36,36,22,22,22,22,92,6,2.1999999999999997,2.1999999999999997,2.1999999999999997,2.1999999999999997,1.0,24,370,16,2,12,272,272,272,272,272,272,272,272,272,4,14,0,312,92,868.6,48,14,66,50,476,128,26,12,30,1487.2,30.06.2026
Arnaud Nordin,fr FRA,AM,26-313,0,2,0.0,0.0,1.0,1.0,1.0,1.0,8,96,96,96,96,96,96,96,96,96,2,2,2,2,2,2,2,2,18,2,1.0,1.0,1.0,1.0,0.7999999999999999,4,78,18,0,18,68,68,68,68,68,68,68,68,68,0,4,0,78,14,50.0,6,2,10,6,84,30,2,18,2,100.0,30.06.2028
Arne Maier,de GER,AM,26-129,0,36,2.8,2.8,3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4000000000000004,88,1176,1176,1176,1176,1176,1176,1176,1176,1176,88,88,88,88,14,14,14,14,366,104,3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4000000000000004,4.8,80,1022,150,4,134,900,900,900,900,900,900,900,900,900,4,28,2,550,42,1300.0,18,36,42,18,902,112,18,134,8,800.0,30.06.2026
Arthur,br BRA,RB,22-061,0,2,0.2,0.2,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,14,776,776,776,776,776,776,776,776,776,50,50,50,50,10,10,10,10,210,22,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,1.7999999999999998,40,684,90,0,32,612,612,612,612,612,612,612,612,612,2,58,0,346,26,466.6,38,28,26,12,618,106,40,32,20,999.8,30.06.2028
Arthur Chaves,br BRA,CB,24-108,2,20,1.8,1.8,0.0,0.0,0.0,0.0,46,2354,2354,2354,2354,2354,2354,2354,2354,2354,114,114,114,114,6,6,6,6,1000,110,0.0,0.0,0.0,0.0,0.4,132,2256,92,0,16,1932,1932,1932,1932,1932,1932,1932,1932,1932,6,272,6,222,44,300.0,12,34,22,22,1838,26,76,16,134,2354.8,30.06.2029
Arthur Theate,be BEL,"CB,LM",24-357,0,72,4.4,4.4,1.6,1.6,1.6,1.6,94,3726,3726,3726,3726,3726,3726,3726,3726,3726,342,342,342,342,20,20,20,20,1470,298,1.6,1.6,1.6,1.6,2.6,368,3388,328,14,52,3078,3078,3078,3078,3078,3078,3078,3078,3078,10,340,6,426,66,1400.0,6,72,42,14,2862,48,28,52,108,2954.8,30.06.2029
Arthur Vermeeren,be BEL,DM,20-099,0,8,0.6000000000000001,0.6000000000000001,1.8,1.8,1.8,1.8,56,1906,1906,1906,1906,1906,1906,1906,1906,1906,154,154,154,154,12,12,12,12,706,60,1.8,1.8,1.8,1.8,2.2,142,1880,24,4,6,1642,1642,1642,1642,1642,1642,1642,1642,1642,2,50,4,402,12,1000.0,18,32,38,24,1506,40,44,6,16,900.0,30.06.2029
Assan Ouedraogo,de GER,AM,18-198,0,2,0.2,0.2,0.0,0.0,0.0,0.0,0,40,40,40,40,40,40,40,40,40,2,2,2,2,0,0,0,0,14,0,0.0,0.0,0.0,0.0,0.0,0,38,0,0,2,30,30,30,30,30,30,30,30,30,2,0,0,24,8,0.0,6,0,4,12,52,4,2,2,0,0.0,30.06.2029
Aster Vranckx,be BEL,DM,22-217,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,404,404,404,404,404,404,404,404,404,40,40,40,40,10,10,10,10,130,24,0.0,0.0,0.0,0.0,0.6000000000000001,32,394,8,2,6,332,332,332,332,332,332,332,332,332,2,26,0,74,8,900.0,2,4,26,10,288,12,24,6,14,616.6,30.06.2026
Atakan Karazor,,CM,28-216,4,28,4.2,3.8,5.0,5.0,5.0,5.0,86,3714,3714,3714,3714,3714,3714,3714,3714,3714,280,280,280,280,24,24,24,24,1140,166,5.0,5.0,5.0,5.0,4.2,300,3472,230,12,8,3216,3216,3216,3216,3216,3216,3216,3216,3216,12,102,2,718,54,2100.0,8,66,60,32,2852,66,76,8,114,3062.2,30.06.2028
Aurele Amenda,ch SUI,CB,21-290,0,0,0.0,0.0,0.6,0.6,0.6,0.6,4,138,138,138,138,138,138,138,138,138,4,4,4,4,2,2,2,2,52,14,0.6,0.6,0.6,0.6,0.6,4,132,6,0,0,116,116,116,116,116,116,116,116,116,0,22,0,12,2,200.0,0,0,2,0,104,2,6,0,16,733.4,30.06.2029
Bazoumana Toure,ci CIV,AM,19-076,0,38,2.6,2.6,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,50,374,374,374,374,374,374,374,374,374,28,28,28,28,24,24,24,24,66,22,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8,18,362,8,0,48,250,250,250,250,250,250,250,250,250,4,4,0,312,72,1333.2,18,24,72,16,396,112,26,48,24,1249.8,30.06.2029
Bence Dardai,hu HUN,CM,19-113,2,22,1.8,1.8,1.8,1.8,1.8,1.8,48,890,890,890,890,890,890,890,890,890,78,78,78,78,6,6,6,6,258,34,1.8,1.8,1.8,1.8,1.6,70,852,36,2,20,714,714,714,714,714,714,714,714,714,2,56,2,274,36,150.0,10,12,36,22,674,48,18,20,20,1300.0,-
Benedict Hollerbach,de GER,FW,24-000,18,152,14.4,14.4,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,158,1348,1348,1348,1348,1348,1348,1348,1348,1348,136,136,136,136,84,84,84,84,238,54,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,4.2,48,1320,26,6,146,882,882,882,882,882,882,882,882,882,2,26,2,1134,276,2621.6,124,136,222,188,1562,428,84,146,58,2147.2,30.06.2029
Benedikt Gimber,de GER,CB,28-087,0,28,1.4000000000000001,1.4000000000000001,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,30,2564,2564,2564,2564,2564,2564,2564,2564,2564,92,92,92,92,16,16,16,16,1338,248,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.4,94,2442,110,0,6,2116,2116,2116,2116,2116,2116,2116,2116,2116,12,262,2,118,44,983.4,8,18,50,14,1930,16,122,6,132,3240.6,30.06.2028
Benjamin Henrichs,de GER,"RB,LB",27-301,0,22,0.6000000000000001,0.6000000000000001,2.8,2.8,2.8,2.8,40,952,952,952,952,952,952,952,952,952,58,58,58,58,18,18,18,18,272,42,2.8,2.8,2.8,2.8,3.6,66,826,124,2,38,720,720,720,720,720,720,720,720,720,2,66,0,308,16,1600.0,8,14,18,12,690,110,26,38,16,933.4,30.06.2028
Benjamin Sesko,si SVN,FW,21-351,26,132,20.0,16.8,4.4,4.4,4.4,4.4,102,1228,1228,1228,1228,1228,1228,1228,1228,1228,92,92,92,92,78,78,78,78,188,26,4.4,4.4,4.4,4.4,2.6,50,1180,42,6,14,830,830,830,830,830,830,830,830,830,6,40,0,714,182,2741.4,64,58,132,110,1384,282,52,14,140,3839.2,30.06.2030
Bernardo,br BRA,CB,30-003,0,16,1.6,1.6,1.6,1.6,1.6,1.6,44,1982,1982,1982,1982,1982,1982,1982,1982,1982,200,200,200,200,6,6,6,6,806,236,1.6,1.6,1.6,1.6,3.0,198,1882,94,0,28,1460,1460,1460,1460,1460,1460,1460,1460,1460,6,206,8,196,56,400.0,4,14,22,16,1386,28,48,28,180,2764.2,-
Budu Zivzivadze,ge GEO,RW,31-068,4,44,3.2,3.2,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,52,410,410,410,410,410,410,410,410,410,40,40,40,40,18,18,18,18,98,16,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.6,14,400,10,2,8,284,284,284,284,284,284,284,284,284,0,14,0,304,74,890.0,38,24,54,32,438,86,18,8,46,877.6,30.06.2029
Can Uzun,tr TUR,"LM,AM",19-181,8,54,6.0,6.0,2.2,2.2,2.2,2.2,76,598,598,598,598,598,598,598,598,598,84,84,84,84,22,22,22,22,198,34,2.2,2.2,2.2,2.2,2.0,50,578,20,4,36,478,478,478,478,478,478,478,478,478,0,6,0,348,62,1200.0,18,26,38,28,630,90,16,36,10,900.0,30.06.2029
Carney Chukwuemeka,eng ENG,AM,21-209,2,16,1.4,1.4,2.0,2.0,2.0,2.0,40,244,244,244,244,244,244,244,244,244,36,36,36,36,14,14,14,14,32,2,2.0,2.0,2.0,2.0,3.2,16,240,4,6,2,192,192,192,192,192,192,192,192,192,0,2,0,190,44,900.0,6,20,22,14,238,48,8,2,12,266.6,30.06.2028
Castello Lukeba,fr FRA,LB,22-144,0,8,0.7999999999999999,0.7999999999999999,0.4,0.4,0.4,0.4,34,2476,2476,2476,2476,2476,2476,2476,2476,2476,160,160,160,160,40,40,40,40,1008,106,0.4,0.4,0.4,0.4,0.4,180,2310,164,0,22,2108,2108,2108,2108,2108,2108,2108,2108,2108,2,148,0,264,28,1666.6,16,42,40,22,1986,46,24,22,52,2216.8,30.06.2029
Cedric Zesiger,ch SUI,CB,26-327,0,24,2.6,2.6,2.2,2.2,2.2,2.2,36,1632,1632,1632,1632,1632,1632,1632,1632,1632,118,118,118,118,8,8,8,8,660,104,2.2,2.2,2.2,2.2,2.2,120,1490,136,4,32,1288,1288,1288,1288,1288,1288,1288,1288,1288,6,248,2,160,18,500.0,6,18,18,8,1156,18,58,32,60,1664.2,30.06.2029
Chris Fuhrich,de GER,WB,27-128,4,72,6.2,6.2,7.4,7.4,7.4,7.4,170,2006,2006,2006,2006,2006,2006,2006,2006,2006,190,190,190,190,80,80,80,80,476,82,7.4,7.4,7.4,7.4,11.8,78,1830,168,16,164,1614,1614,1614,1614,1614,1614,1614,1614,1614,8,38,0,1374,230,2406.6,84,136,74,52,1810,404,18,164,10,800.0,30.06.2028
Chrislain Matsima,fr FRA,CB,23-002,2,28,3.8,3.8,0.4,0.4,0.4,0.4,34,2648,2648,2648,2648,2648,2648,2648,2648,2648,168,168,168,168,14,14,14,14,1200,144,0.4,0.4,0.4,0.4,0.8,190,2548,88,4,6,2278,2278,2278,2278,2278,2278,2278,2278,2278,12,326,0,276,48,1100.0,8,36,40,18,1978,26,20,6,136,4157.6,30.06.2029
Christian Gunter,de GER,LB,32-078,4,42,1.2,0.8,4.8,4.8,4.8,4.8,106,2286,2286,2286,2286,2286,2286,2286,2286,2286,104,104,104,104,6,6,6,6,646,136,4.8,4.8,4.8,4.8,8.4,106,1770,512,4,242,1702,1702,1702,1702,1702,1702,1702,1702,1702,4,100,2,854,54,600.0,12,38,30,8,1528,218,28,242,14,1166.6,-
Christoph Baumgartner,at AUT,DM,25-289,4,78,8.8,8.8,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,84,1234,1234,1234,1234,1234,1234,1234,1234,1234,106,106,106,106,34,34,34,34,276,58,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,3.0,80,1162,54,20,28,842,842,842,842,842,842,842,842,842,18,48,4,622,130,1466.6,38,70,94,62,1150,190,88,28,82,3224.2,30.06.2028
Christopher Trimmel,at AUT,RB,38-082,0,18,0.4,0.4,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,114,1566,1566,1566,1566,1566,1566,1566,1566,1566,146,146,146,146,4,4,4,4,412,170,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,6.4,120,1106,454,2,222,948,948,948,948,948,948,948,948,948,6,184,0,512,26,300.0,10,14,20,16,846,90,28,222,46,2116.6,30.06.2026
Cole Campbell,us USA,LB,18-325,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,6,2,0.0,0.0,0.0,0.0,0.0,0,30,0,0,2,26,26,26,26,26,26,26,26,26,0,2,0,16,0,0.0,2,0,6,0,26,2,2,2,0,0.0,30.06.2028
Connor Metcalfe,au AUS,WB,25-187,0,12,1.4,1.4,0.2,0.2,0.2,0.2,12,236,236,236,236,236,236,236,236,236,16,16,16,16,6,6,6,6,56,12,0.2,0.2,0.2,0.2,0.4,12,216,16,0,14,152,152,152,152,152,152,152,152,152,4,16,0,104,8,200.0,2,10,10,0,160,22,10,14,26,1010.0,-
DanAxel Zagadou,fr FRA,CB,25-111,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0,18,0,0,0,18,18,18,18,18,18,18,18,18,0,2,0,0,0,0.0,0,2,0,0,18,0,2,0,0,0.0,30.06.2026
